Date,Description,Type,Amount,Current balance,Status
2025-12-31,Interest earned,INTEREST_EARNED,0.47,268.34,Posted
2025-11-30,Interest earned,INTEREST_EARNED,0.79,267.87,Posted
2025-10-31,Interest earned,INTEREST_EARNED,0.84,267.08,Posted
2025-09-30,Interest earned,INTEREST_EARNED,0.71,266.24,Posted
2025-09-05,BYU Refund,DIRECT_DEPOSIT,254,265.53,Posted
2025-08-31,Interest earned,INTEREST_EARNED,0.01,11.53,Posted
2025-07-31,Interest earned,INTEREST_EARNED,0.01,11.52,Posted
2025-06-30,Interest earned,INTEREST_EARNED,0.01,11.51,Posted
2025-05-31,Interest earned,INTEREST_EARNED,0.01,11.5,Posted
2025-04-30,Interest earned,INTEREST_EARNED,0.01,11.49,Posted
2025-03-31,Interest earned,INTEREST_EARNED,0.25,11.48,Posted
2025-03-26,To Checking - 6818,OTHER,-15,11.23,Posted
2025-03-26,BYU,DIRECT_PAY,-173,26.23,Posted
2025-03-19,Bear River,DIRECT_PAY,-189,199.23,Posted
2025-03-17,To Checking - 6818,OTHER,-38.67,388.23,Posted
2025-03-03,To Checking - 6818,OTHER,-13.03,426.9,Posted
2025-03-01,To Checking - 6818,OTHER,-209.79,439.93,Posted
2025-03-01,To Checking - 6818,OTHER,-78.56,649.72,Posted
2025-02-28,Interest earned,INTEREST_EARNED,5.62,728.28,Posted
2025-02-26,To Checking - 6818,OTHER,-48.83,722.66,Posted
2025-02-26,To Checking - 6818,OTHER,-192.5,771.49,Posted
2025-02-24,To Checking - 6818,OTHER,-469.06,963.99,Posted
2025-02-24,To Checking - 6818,OTHER,-47.83,1433.05,Posted
2025-02-23,To Checking - 6818,OTHER,-26.94,1480.88,Posted
2025-02-22,To Checking - 6818,OTHER,-22,1507.82,Posted
2025-02-20,To Checking - 6818,OTHER,-5.73,1529.82,Posted
2025-02-19,Bear River,DIRECT_PAY,-189,1535.55,Posted
2025-02-18,To Checking - 6818,OTHER,-12.44,1724.55,Posted
2025-02-16,To Checking - 6818,OTHER,-7.03,1736.99,Posted
2025-02-12,BYU,DIRECT_PAY,-163,1744.02,Posted
2025-02-11,To Checking - 6818,OTHER,-13.95,1907.02,Posted
2025-02-10,To Checking - 6818,OTHER,-183.66,1920.97,Posted
2025-02-10,To Checking - 6818,OTHER,-23.01,2104.63,Posted
2025-02-10,To Checking - 6818,OTHER,-134.32,2127.64,Posted
2025-02-09,To Checking - 6818,OTHER,-9.65,2261.96,Posted
2025-02-06,To Checking - 6818,OTHER,-1319.43,2271.61,Posted
2025-02-04,To Checking - 6818,OTHER,-52.96,3591.04,Posted
2025-01-31,Interest earned,INTEREST_EARNED,15.49,3644,Posted
2025-01-29,Ch JesusChrist,DIRECT_PAY,-145,3628.51,Posted
2025-01-29,Ch JesusChrist,DIRECT_PAY,-185,3773.51,Posted
2025-01-28,To Checking - 6818,OTHER,-6.92,3958.51,Posted
2025-01-28,To Checking - 6818,OTHER,-53.02,3965.43,Posted
2025-01-28,BYU,DIRECT_PAY,-281.9,4018.45,Posted
2025-01-27,To Checking - 6818,OTHER,-92.35,4300.35,Posted
2025-01-22,To Checking - 6818,OTHER,-16.08,4392.7,Posted
2025-01-21,To Checking - 6818,OTHER,-50.21,4408.78,Posted
2025-01-21,To Checking - 6818,OTHER,-75,4458.99,Posted
2025-01-21,Bear River,DIRECT_PAY,-189.34,4533.99,Posted
2025-01-20,To Checking - 6818,OTHER,-58.44,4723.33,Posted
2025-01-19,To Checking - 6818,OTHER,-9.97,4781.77,Posted
2025-01-16,To Checking - 6818,OTHER,-64.34,4791.74,Posted
2025-01-14,BYU,DIRECT_PAY,-158,4856.08,Posted
2025-01-13,To Checking - 6818,OTHER,-134.35,5014.08,Posted
2025-01-12,To Checking - 6818,OTHER,-28.15,5148.43,Posted
2025-01-10,Brigham Young Un,DIRECT_DEPOSIT,353,5176.58,Posted
2025-01-10,To Checking - 6818,OTHER,-37.88,4823.58,Posted
2025-01-10,To Checking - 6818,OTHER,-6.38,4861.46,Posted
2025-01-08,To Checking - 6818,OTHER,-161.16,4867.84,Posted
2025-01-08,To Checking - 6818,OTHER,-47.65,5029,Posted
2025-01-07,BYU,DIRECT_PAY,-60,5076.65,Posted
2025-01-04,To Checking - 6818,OTHER,-30.99,5136.65,Posted
2025-01-04,To Checking - 6818,OTHER,-64.6,5167.64,Posted
2025-01-02,To Checking - 6818,OTHER,-5.3,5232.24,Posted
