date,description,type,amount,main_category,sub_category,bank,account
2025-01-03,Payroll Deposit,credit,632.09,Income,Paychecks,goldenwest,checking
2025-01-07,Byu (Campus Services),debit,-60.0,Education,Education,sofi,savings
2025-01-10,Byu Refund,credit,353.0,Income,Refunds,sofi,savings
2025-01-14,Byu (Campus Services),debit,-158.0,Education,Education,sofi,savings
2025-01-17,Payroll Deposit,credit,682.91,Income,Paychecks,goldenwest,checking
2025-01-21,Deposit S Kerby Reim For Training Mileage,credit,769.16,Other Income,Other,goldenwest,checking
2025-01-21,Bear River Insurance,debit,-189.34,Automotive & Fuel,Insurance,sofi,savings
2025-01-28,Byu (Campus Services),debit,-281.9,Education,Education,sofi,savings
2025-01-29,Church Donations,debit,-185.0,Gifts & Donations,Tithing,sofi,savings
2025-01-29,Church Donations,debit,-145.0,Gifts & Donations,Tithing,sofi,savings
2025-01-31,Interest Earned,credit,15.49,Savings & Investments,Dividends,sofi,savings
2025-01-31,Interest Earned,credit,0.26,Savings & Investments,Dividends,goldenwest,gold account
2025-01-31,Interest Earned,credit,0.18,Savings & Investments,Dividends,goldenwest,checking
2025-01-31,Payroll Deposit,credit,613.56,Income,Paychecks,goldenwest,checking
2025-01-31,Walmart Supercenter,debit,-198.23,Food / Dining,Groceries,goldenwest,checking
2025-02-02,T-Mobile,debit,-11.16,Housing & Bills,Phone,goldenwest,checking
2025-02-11,Costco Wholesale,credit,26.77,Food / Dining,Groceries,goldenwest,checking
2025-02-12,Byu (Campus Services),debit,-163.0,Education,Education,sofi,savings
2025-02-12,Walmart Supercenter,debit,-244.25,Food / Dining,Groceries,goldenwest,checking
2025-02-13,Maverik,debit,-49.24,Automotive & Fuel,Fuel,goldenwest,checking
2025-02-14,Payroll Deposit,credit,1119.93,Income,Paychecks,goldenwest,checking
2025-02-14,Deposit S Kerby Reim For Training Mileage,credit,114.8,Other Income,Other,goldenwest,checking
2025-02-19,Bear River Insurance,debit,-189.0,Automotive & Fuel,Insurance,sofi,savings
2025-02-28,Interest Earned,credit,5.62,Savings & Investments,Dividends,sofi,savings
2025-02-28,Payroll Deposit,credit,627.36,Income,Paychecks,goldenwest,checking
2025-02-28,Interest Earned,credit,0.25,Savings & Investments,Dividends,goldenwest,gold account
2025-02-28,Interest Earned,credit,0.23,Savings & Investments,Dividends,goldenwest,checking
2025-03-03,Walmart Supercenter,debit,-51.15,Food / Dining,Groceries,goldenwest,checking
2025-03-03,Walmart Supercenter,debit,-37.52,Food / Dining,Groceries,goldenwest,checking
2025-03-04,Taco Bell,debit,-19.02,Food / Dining,Fast Food,goldenwest,checking
2025-03-06,Oak Hills Pharmacy,debit,-23.01,Health & Wellness,Pharmacy,goldenwest,checking
2025-03-07,Payroll Deposit,debit,-101.63,Income,Paychecks,goldenwest,checking
2025-03-07,Ross,debit,-21.3,Shopping & Supplies,General Retail,goldenwest,checking
2025-03-08,T-Mobile,debit,-27.9,Housing & Bills,Phone,goldenwest,checking
2025-03-08,Walmart Supercenter,debit,-66.34,Food / Dining,Groceries,goldenwest,checking
2025-03-09,Carl's Jr.,debit,-22.5,General Spending,Other,goldenwest,checking
2025-03-10,Dick's Sporting Goods,debit,-32.01,Shopping & Supplies,General Retail,goldenwest,checking
2025-03-10,Barnes & Noble,debit,-52.29,Shopping & Supplies,General Retail,goldenwest,checking
2025-03-10,Bath & Body Works,debit,-46.76,Health & Wellness,Personal Care,goldenwest,checking
2025-03-10,Victoria's Secret,debit,-45.32,Health & Wellness,Personal Care,goldenwest,checking
2025-03-10,Fabulous Freddy's,debit,-12.83,General Spending,Other,goldenwest,checking
2025-03-10,Jcpenney,debit,-41.35,Shopping & Supplies,Clothing,goldenwest,checking
2025-03-11,Walmart Supercenter,debit,-55.25,Food / Dining,Groceries,goldenwest,checking
2025-03-12,Famous Footwear,debit,-98.0,Shopping & Supplies,Clothing,goldenwest,checking
2025-03-12,Taco Bell,debit,-21.0,Food / Dining,Fast Food,goldenwest,checking
2025-03-13,Downeast,debit,-72.93,Shopping & Supplies,Clothing,goldenwest,checking
2025-03-13,Downeast,debit,-27.75,Shopping & Supplies,Clothing,goldenwest,checking
2025-03-13,Panda Express,debit,-26.4,Food / Dining,Fast Food,goldenwest,checking
2025-03-13,Red Cliffs Boba Tea,debit,-9.06,Food / Dining,Fast Food,goldenwest,checking
2025-03-13,Chick-Fil-A,debit,-13.24,Food / Dining,Fast Food,goldenwest,checking
2025-03-14,Taco Bell,debit,-13.0,Food / Dining,Fast Food,goldenwest,checking
2025-03-14,Payroll Deposit,credit,564.52,Income,Paychecks,goldenwest,checking
2025-03-15,Walmart Supercenter,debit,-22.28,Food / Dining,Groceries,goldenwest,checking
2025-03-15,Maverik,debit,-49.01,Automotive & Fuel,Fuel,goldenwest,checking
2025-03-19,Walmart Supercenter,debit,-135.57,Food / Dining,Groceries,goldenwest,checking
2025-03-19,Bear River Insurance,debit,-189.0,Automotive & Fuel,Insurance,sofi,savings
2025-03-23,Taco Bell,debit,-24.0,Food / Dining,Fast Food,goldenwest,checking
2025-03-25,Maverik,debit,-48.71,Automotive & Fuel,Fuel,goldenwest,checking
2025-03-26,Byu (Campus Services),debit,-173.0,Education,Education,sofi,savings
2025-03-26,Subway,debit,-15.45,Food / Dining,Fast Food,goldenwest,checking
2025-03-27,Oak Hills Pharmacy,debit,-23.01,Health & Wellness,Pharmacy,goldenwest,checking
2025-03-28,Payroll Deposit,credit,588.64,Income,Paychecks,goldenwest,checking
2025-03-29,Walmart Supercenter,debit,-106.48,Food / Dining,Groceries,goldenwest,checking
2025-03-29,Costco Wholesale,debit,-175.29,Food / Dining,Groceries,goldenwest,checking
2025-03-31,Interest Earned,credit,0.33,Savings & Investments,Dividends,goldenwest,gold account
2025-03-31,Crosspointe Dental,debit,-158.0,Health & Wellness,Medical,goldenwest,checking
2025-03-31,Interest Earned,credit,0.24,Savings & Investments,Dividends,goldenwest,checking
2025-03-31,Interest Earned,credit,0.77,Savings & Investments,Dividends,goldenwest,money market
2025-03-31,Interest Earned,credit,0.25,Savings & Investments,Dividends,sofi,savings
2025-04-01,Church Donations,debit,-205.0,Gifts & Donations,Tithing,goldenwest,checking
2025-04-01,Church Donations,debit,-320.0,Gifts & Donations,Tithing,goldenwest,checking
2025-04-01,Walmart Supercenter,debit,-160.31,Food / Dining,Groceries,goldenwest,checking
2025-04-04,Hobby Lobby,debit,-26.6,Shopping & Supplies,Hobbies,goldenwest,checking
2025-04-04,Ross,debit,-33.96,Shopping & Supplies,General Retail,goldenwest,checking
2025-04-04,Robinhood Investment,debit,-150.0,Savings & Investments,Investments,goldenwest,checking
2025-04-05,Taco Bell,debit,-16.0,Food / Dining,Fast Food,goldenwest,checking
2025-04-06,Robinhood Investment,debit,-1.01,Savings & Investments,Investments,goldenwest,checking
2025-04-06,Robinhood Investment,debit,-1.01,Savings & Investments,Investments,goldenwest,checking
2025-04-06,Robinhood Investment,debit,-1.01,Savings & Investments,Investments,goldenwest,checking
2025-04-06,Robinhood Investment,debit,-1.01,Savings & Investments,Investments,goldenwest,checking
2025-04-06,Robinhood Investment,debit,-1.01,Savings & Investments,Investments,goldenwest,checking
2025-04-07,Robinhood Investment,debit,-1.01,Savings & Investments,Investments,goldenwest,checking
2025-04-07,Robinhood Investment,debit,-1.01,Savings & Investments,Investments,goldenwest,checking
2025-04-07,Robinhood Investment,debit,-1.01,Savings & Investments,Investments,goldenwest,checking
2025-04-07,Robinhood Investment,debit,-1.01,Savings & Investments,Investments,goldenwest,checking
